puzzle_id,json_file_path,num_solutions,iteration_used,time_spent,final_hamming_distance,success,refined_img_path,refined_json_path
3751,./mnist_nonograms\mnist_puzzle_3751.json,2,29,4.368699073791504,7,True,./classic_stimulated_defined_Images\puzzle_3751_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3751_refined.json
3755,./mnist_nonograms\mnist_puzzle_3755.json,4,84,13.191800117492676,11,True,./classic_stimulated_defined_Images\puzzle_3755_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3755_refined.json
3758,./mnist_nonograms\mnist_puzzle_3758.json,20,100,25.09175992012024,17,False,./classic_stimulated_defined_Images\puzzle_3758_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3758_refined.json
3759,./mnist_nonograms\mnist_puzzle_3759.json,2,2,0.4169158935546875,1,True,./classic_stimulated_defined_Images\puzzle_3759_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3759_refined.json
376,./mnist_nonograms\mnist_puzzle_376.json,7,100,32.15812802314758,27,False,./classic_stimulated_defined_Images\puzzle_376_comparison.png,./classic_stimulated_defined_JSONs\puzzle_376_refined.json
3760,./mnist_nonograms\mnist_puzzle_3760.json,5,48,2.5407302379608154,6,True,./classic_stimulated_defined_Images\puzzle_3760_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3760_refined.json
3772,./mnist_nonograms\mnist_puzzle_3772.json,2,5,0.8753511905670166,1,True,./classic_stimulated_defined_Images\puzzle_3772_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3772_refined.json
3775,./mnist_nonograms\mnist_puzzle_3775.json,2,49,8.017136573791504,10,True,./classic_stimulated_defined_Images\puzzle_3775_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3775_refined.json
3781,./mnist_nonograms\mnist_puzzle_3781.json,2,28,10.74892544746399,8,True,./classic_stimulated_defined_Images\puzzle_3781_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3781_refined.json
3782,./mnist_nonograms\mnist_puzzle_3782.json,2,8,1.5864355564117432,3,True,./classic_stimulated_defined_Images\puzzle_3782_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3782_refined.json
3784,./mnist_nonograms\mnist_puzzle_3784.json,2,1,0.1666698455810547,1,True,./classic_stimulated_defined_Images\puzzle_3784_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3784_refined.json
3786,./mnist_nonograms\mnist_puzzle_3786.json,3,15,2.829577684402466,2,True,./classic_stimulated_defined_Images\puzzle_3786_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3786_refined.json
3789,./mnist_nonograms\mnist_puzzle_3789.json,10,100,38.103477239608765,24,False,./classic_stimulated_defined_Images\puzzle_3789_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3789_refined.json
379,./mnist_nonograms\mnist_puzzle_379.json,2,18,2.5748374462127686,5,True,./classic_stimulated_defined_Images\puzzle_379_comparison.png,./classic_stimulated_defined_JSONs\puzzle_379_refined.json
3797,./mnist_nonograms\mnist_puzzle_3797.json,3,9,1.7694158554077148,4,True,./classic_stimulated_defined_Images\puzzle_3797_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3797_refined.json
3798,./mnist_nonograms\mnist_puzzle_3798.json,3,26,7.595525503158569,7,True,./classic_stimulated_defined_Images\puzzle_3798_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3798_refined.json
38,./mnist_nonograms\mnist_puzzle_38.json,2,18,3.3188631534576416,7,True,./classic_stimulated_defined_Images\puzzle_38_comparison.png,./classic_stimulated_defined_JSONs\puzzle_38_refined.json
380,./mnist_nonograms\mnist_puzzle_380.json,2,69,24.41783857345581,18,True,./classic_stimulated_defined_Images\puzzle_380_comparison.png,./classic_stimulated_defined_JSONs\puzzle_380_refined.json
3804,./mnist_nonograms\mnist_puzzle_3804.json,4,7,1.8712444305419922,3,True,./classic_stimulated_defined_Images\puzzle_3804_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3804_refined.json
3813,./mnist_nonograms\mnist_puzzle_3813.json,2,7,2.830298900604248,5,True,./classic_stimulated_defined_Images\puzzle_3813_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3813_refined.json
3817,./mnist_nonograms\mnist_puzzle_3817.json,2,74,33.58854532241821,27,True,./classic_stimulated_defined_Images\puzzle_3817_comparison.png,./classic_stimulated_defined_JSONs\puzzle_3817_refined.json
